war,53,21,41,136812596,534429926
war,80,1,31,103477393,356247342
war,23,1,21,20867266,79774186
war,7,21,41,19351090,100150458
war,57,21,11,77876640,332793355
war,58,1,21,51790151,182178466
war,78,21,1,74850371,342035623
war,84,21,21,148271434,597280741
war,7,11,1,3891090,22155455
war,58,41,21,153570151,656658463
war,26,21,31,57217799,240011010
war,85,41,41,292904945,1179497349
war,60,31,21,132502173,555635179
war,9,1,11,4648112,21412174
war,18,1,41,31349711,123344146
war,43,21,1,41477486,193621343
war,12,41,1,22788645,119288995
war,30,31,1,42346843,202284439
war,23,1,31,30317266,115374186
war,80,1,41,135727393,465947342
war,27,41,41,94341307,404857585
war,57,21,21,100926637,412593325
war,89,41,11,199048992,868720811
war,58,1,11,28340151,101078466
war,84,21,11,114421437,482380771
war,32,11,11,29903862,126531125
war,57,21,31,123976640,492393358
war,18,1,31,23899711,94244146
war,26,21,21,46567796,200510977
war,77,11,41,164386860,605190518
war,9,1,21,8498112,38812174
war,85,41,31,258654948,1063297379
war,21,11,1,11150244,54122467
war,58,41,11,130120151,575558463
war,60,31,11,108252173,471935179
war,53,21,21,93912593,385229893
war,80,1,11,38977393,136847342
war,78,31,41,234795371,928205626
war,23,1,41,39767266,150974186
war,63,1,11,30757706,109208506
war,88,21,11,119835481,504544203
war,89,41,21,234898992,990120811
war,52,41,1,95727005,445516555
war,27,41,31,83291310,364057615
war,54,41,41,186776104,765435001
war,64,31,11,115406217,501928611
war,80,21,31,173507393,679617342
war,19,11,41,41513222,171155754
war,57,21,41,147026640,572193358
war,32,11,21,42953865,173831158
war,3,41,1,6377046,45917023
war,26,21,11,35917799,161011007
war,40,41,11,90096953,405353019
war,77,11,31,133336860,499390518
war,96,11,1,50038569,225366067
war,98,1,11,47680591,166112786
war,85,41,21,224404948,947097379
war,83,21,1,79617826,363255338
war,80,1,21,71227393,246547342
war,53,21,31,115362596,459829926
war,88,21,21,155285478,624644173
war,47,41,1,86611266,404773917
war,89,41,31,270748992,1111520811
war,27,41,21,72241310,323257615
war,32,11,31,56003865,221131158
war,80,21,41,205757393,789317342
war,64,31,21,141256217,590828611
war,19,11,31,33663222,140755754
war,89,41,41,306598989,1232920781
war,90,11,11,83177500,334365889
war,70,31,1,97882835,450204303
war,3,21,41,9137046,62387026
war,40,41,21,106346953,463053019
war,77,11,21,102286860,393590518
war,85,41,11,190154948,830897379
war,65,31,1,90943692,419246852
war,98,1,21,87130591,299212786
